_time,_value,instance_id
22/03/2024 9:15,6.076815837,
22/03/2024 9:20,5.42578748,
22/03/2024 9:25,5.445050627,
22/03/2024 9:30,5.531267621,
22/03/2024 9:35,5.511353871,
22/03/2024 9:40,5.378205679,
22/03/2024 9:45,5.363445385,
22/03/2024 9:50,5.406045492,
22/03/2024 9:55,5.338475038,
22/03/2024 10:00,5.349554317,
22/03/2024 10:05,5.393788429,
22/03/2024 10:10,5.294966169,
22/03/2024 10:15,5.454130741,
22/03/2024 10:20,5.564551971,
22/03/2024 10:25,5.539992713,
22/03/2024 10:30,5.53656298,
22/03/2024 10:35,5.508512468,
22/03/2024 10:40,5.493051767,
22/03/2024 10:45,5.30881224,
22/03/2024 10:50,5.309904809,
22/03/2024 10:55,5.415458227,
22/03/2024 11:00,5.536738469,
22/03/2024 11:05,5.443743883,
22/03/2024 11:10,5.445809083,
22/03/2024 11:15,5.405149698,
22/03/2024 11:20,5.497901466,
22/03/2024 11:25,5.602207197,
22/03/2024 11:30,5.39610459,
22/03/2024 11:35,5.171621399,
22/03/2024 11:40,4.244419228,
22/03/2024 11:45,4.32730499,
22/03/2024 11:50,4.357676778,
22/03/2024 11:55,4.349266859,
22/03/2024 12:00,4.310075652,
22/03/2024 12:05,4.720816154,
22/03/2024 12:10,4.310939102,
22/03/2024 12:15,4.346734225,
22/03/2024 12:20,4.618706015,
22/03/2024 12:25,4.467412544,
22/03/2024 12:30,4.548662799,
22/03/2024 12:35,4.330031025,
22/03/2024 12:40,4.348934299,
22/03/2024 12:45,4.32563977,
22/03/2024 12:50,4.406528779,
22/03/2024 12:55,4.469424273,
22/03/2024 13:00,4.478599257,
22/03/2024 13:05,4.298938818,
22/03/2024 13:10,4.382211679,
22/03/2024 13:15,4.398390091,
22/03/2024 13:20,4.407409434,
22/03/2024 13:25,4.360347275,
22/03/2024 13:30,4.429805109,
22/03/2024 13:35,4.365804864,
22/03/2024 13:40,4.422811775,
22/03/2024 13:45,4.283756951,
22/03/2024 13:50,4.312804653,
22/03/2024 13:55,4.282772532,
22/03/2024 14:00,4.419684503,
22/03/2024 14:05,4.317181712,
22/03/2024 14:10,4.37525811,
22/03/2024 14:15,4.396709925,
22/03/2024 14:20,4.512818275,
22/03/2024 14:25,4.336643548,
22/03/2024 14:30,4.269546051,
22/03/2024 14:35,4.377132083,
22/03/2024 14:40,4.308228151,
22/03/2024 14:45,4.334344648,
22/03/2024 14:50,4.455677913,
22/03/2024 14:55,4.438632235,
